seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
34,3,60 - 64,Hombre,Nacional,AVILA,1
20,2,55 - 59,Mujer,Nacional,CORDOBA,2
5,3,65 - 69,Mujer,Nacional,SALAMANCA,1
13,2,40 - 44,Mujer,Nacional,SALAMANCA,1
4,3,75 - 79,Hombre,Nacional,TOLEDO,1
5,3,85 - 89,Hombre,Nacional,TOLEDO,1
7,4,60 - 64,Mujer,Nacional,AVILA,1
4,3,80 - 84,Mujer,Nacional,TOLEDO,1
6,3,65 - 69,Hombre,Nacional,MADRID,7
6,3,35 - 39,Hombre,Nacional,MADRID,19
7,4,70 - 74,Mujer,Nacional,SALAMANCA,1
4,3,70 - 74,Hombre,Nacional,BADAJOZ,1
3,3,55 - 59,Hombre,Nacional,CACERES,1
16,1,30 - 34,Hombre,Nacional,MADRID,23
5,3,60 - 64,Mujer,Nacional,BURGOS,1
8,3,65 - 69,Hombre,Nacional,,9
5,3,90 - 94,Mujer,Nacional,,2
4,3,75 - 79,Mujer,Nacional,CACERES,1
6,4,35 - 39,Hombre,Nacional,,1
20,2,70 - 74,Hombre,Nacional,CUENCA,1
6,1,55 - 59,Hombre,Nacional,CIUDAD REAL,1
7,3,55 - 59,Hombre,Nacional,CACERES,1
4,3,60 - 64,Hombre,Nacional,TOLEDO,1
7,4,55 - 59,Hombre,Nacional,SORIA,1
35,3,50 - 54,Hombre,Nacional,BADAJOZ,1
47,3,40 - 44,Hombre,Nacional,MADRID,244
6,3,65 - 69,Mujer,Nacional,,5
6,3,70 - 74,Mujer,Nacional,AVILA,1
12,1,35 - 39,Hombre,Nacional,MADRID,25
5,3,70 - 74,Mujer,Nacional,AVILA,1
5,3,55 - 59,Hombre,Nacional,TOLEDO,1
34,3,55 - 59,Hombre,Nacional,MURCIA,1
6,3,80 - 84,Mujer,Nacional,GUADALAJARA,1
7,4,75 - 79,Hombre,Nacional,CORDOBA,1
6,3,65 - 69,Mujer,Nacional,LEON,1
6,3,70 - 74,Mujer,Nacional,BADAJOZ,1
6,3,70 - 74,Hombre,Nacional,TOLEDO,1
5,3,60 - 64,Mujer,Nacional,,4
10,4,60 - 64,Mujer,Extranjero,PERU,3
6,3,75 - 79,Mujer,Nacional,JAEN,1
6,3,65 - 69,Hombre,Nacional,TOLEDO,1
6,3,80 - 84,Hombre,Nacional,CACERES,1
6,3,75 - 79,Hombre,Nacional,TOLEDO,1
6,3,75 - 79,Mujer,Nacional,TOLEDO,2
6,3,80 - 84,Hombre,Nacional,TOLEDO,2
6,3,75 - 79,Mujer,Nacional,MADRID,3
6,3,70 - 74,Mujer,Nacional,BADAJOZ,1
5,3,65 - 69,Hombre,Extranjero,VENEZUELA,1
7,4,75 - 79,Hombre,Nacional,BADAJOZ,1
38,4,45 - 49,Hombre,Nacional,MADRID,73
6,3,85 - 89,Mujer,Nacional,CACERES,1
6,3,85 - 89,Hombre,Nacional,CACERES,1
6,3,85 - 89,Mujer,Nacional,CACERES,1
6,3,55 - 59,Mujer,Nacional,CIUDAD REAL,2
34,3,55 - 59,Mujer,Nacional,TOLEDO,1
6,3,75 - 79,Hombre,Nacional,CIUDAD REAL,1
6,3,50 - 54,Mujer,Nacional,TOLEDO,1
6,3,65 - 69,Hombre,Nacional,LEON,1
6,3,75 - 79,Hombre,Nacional,CUENCA,1
5,3,75 - 79,Hombre,Nacional,,3
5,3,75 - 79,Mujer,Nacional,CIUDAD REAL,1
8,3,70 - 74,Mujer,Nacional,CUENCA,1
7,4,75 - 79,Mujer,Nacional,TOLEDO,1
14,1,45 - 49,Mujer,Nacional,MADRID,29
37,3,25 - 29,Hombre,Nacional,MADRID,4
12,1,45 - 49,Mujer,Nacional,MADRID,26
7,3,70 - 74,Hombre,Nacional,MADRID,9
6,3,80 - 84,Mujer,Nacional,PALENCIA,1
6,3,70 - 74,Hombre,Nacional,CUENCA,1
6,3,50 - 54,Mujer,Nacional,BADAJOZ,1
6,3,70 - 74,Mujer,Nacional,SEGOVIA,1
6,3,40 - 44,Mujer,Nacional,PALMAS DE GRAN CANARIA (LAS),2
6,3,70 - 74,Hombre,Nacional,CIUDAD REAL,1
6,3,65 - 69,Mujer,Nacional,SEGOVIA,1
6,3,70 - 74,Mujer,Nacional,CIUDAD REAL,1
6,3,85 - 89,Hombre,Nacional,TOLEDO,1
6,3,60 - 64,Hombre,Nacional,CACERES,1
6,3,75 - 79,Mujer,Nacional,SEGOVIA,1
38,3,30 - 34,Hombre,Nacional,MADRID,19
6,3,50 - 54,Hombre,Nacional,CUENCA,1
42,3,55 - 59,Hombre,Nacional,TOLEDO,1
6,3,70 - 74,Hombre,Nacional,CORDOBA,1
5,1,80 - 84,Mujer,Nacional,,1
37,3,65 - 69,Mujer,Nacional,SEVILLA,1
16,1,50 - 54,Hombre,Nacional,MADRID,27
6,3,25 - 29,Mujer,Nacional,,8
7,3,55 - 59,Hombre,Nacional,CIUDAD REAL,2
6,3,80 - 84,Mujer,Nacional,AVILA,1
6,3,80 - 84,Mujer,Nacional,TOLEDO,1
7,3,75 - 79,Mujer,Nacional,VALLADOLID,1
7,3,70 - 74,Mujer,Nacional,CIUDAD REAL,3
6,3,80 - 84,Mujer,Nacional,BADAJOZ,1
32,4,40 - 44,Hombre,Nacional,MADRID,29
7,4,85 - 89,Hombre,Nacional,SEVILLA,1
13,2,55 - 59,Mujer,Nacional,TOLEDO,1
6,3,70 - 74,Mujer,Nacional,TOLEDO,1
2,3,60 - 64,Hombre,Nacional,CADIZ,1
2,1,85 - 89,Hombre,Nacional,CACERES,1
38,3,40 - 44,Mujer,Nacional,CACERES,1
31,4,75 - 79,Hombre,Nacional,CIUDAD REAL,1
3,2,45 - 49,Hombre,Nacional,MADRID,41
7,3,80 - 84,Mujer,Nacional,CIUDAD REAL,1
33,3,60 - 64,Mujer,Nacional,TOLEDO,1
7,4,75 - 79,Mujer,Nacional,VALLADOLID,1
6,3,85 - 89,Mujer,Nacional,BADAJOZ,1
6,1,50 - 54,Hombre,Nacional,MADRID,65
38,3,60 - 64,Mujer,Nacional,MADRID,9
38,3,35 - 39,Hombre,Nacional,MADRID,70
5,1,45 - 49,Hombre,Nacional,CIUDAD REAL,3
13,2,75 - 79,Hombre,Nacional,BADAJOZ,1
7,3,60 - 64,Mujer,Nacional,BADAJOZ,1
19,2,55 - 59,Hombre,Nacional,BURGOS,1
7,3,75 - 79,Hombre,Nacional,TOLEDO,1
6,1,55 - 59,Hombre,Nacional,,8
5,3,65 - 69,Mujer,Nacional,CACERES,1
9,4,80 - 84,Mujer,Nacional,CACERES,1
6,3,85 - 89,Hombre,Nacional,GRANADA,1
7,4,70 - 74,Hombre,Nacional,GRANADA,1
19,2,55 - 59,Mujer,Nacional,CORU?A (LA),1
7,3,85 - 89,Mujer,Nacional,MADRID,1
6,3,75 - 79,Mujer,Nacional,CIUDAD REAL,1
7,3,75 - 79,Mujer,Nacional,CUENCA,1
7,3,85 - 89,Hombre,Nacional,MADRID,1
7,4,75 - 79,Hombre,Nacional,SORIA,1
7,3,65 - 69,Mujer,Nacional,CIUDAD REAL,1
7,3,80 - 84,Mujer,Nacional,TOLEDO,1
7,3,80 - 84,Hombre,Nacional,CIUDAD REAL,1
7,3,70 - 74,Mujer,Nacional,CIUDAD REAL,1
7,3,90 - 94,Mujer,Nacional,TOLEDO,1
6,3,70 - 74,Mujer,Nacional,ASTURIAS,1
7,3,90 - 94,Hombre,Nacional,JAEN,1
7,3,80 - 84,Hombre,Nacional,HUELVA,1
45,3,80 - 84,Hombre,Nacional,TOLEDO,1
14,3,45 - 49,Mujer,Nacional,MADRID,25
7,3,75 - 79,Hombre,Nacional,CACERES,1
6,3,85 - 89,Hombre,Nacional,CIUDAD REAL,1
7,3,75 - 79,Mujer,Nacional,SEVILLA,1
9,2,75 - 79,Mujer,Nacional,TOLEDO,1
6,3,75 - 79,Hombre,Nacional,BADAJOZ,1
6,3,80 - 84,Mujer,Nacional,TOLEDO,1
7,3,70 - 74,Mujer,Nacional,TOLEDO,1
7,3,75 - 79,Mujer,Nacional,CACERES,1
7,4,65 - 69,Mujer,Nacional,AVILA,1
7,3,75 - 79,Mujer,Nacional,BURGOS,1
7,3,75 - 79,Mujer,Nacional,GUADALAJARA,1
7,3,55 - 59,Hombre,Nacional,MADRID,20
23,4,45 - 49,Hombre,Nacional,CORDOBA,1
7,3,55 - 59,Mujer,Nacional,TOLEDO,1
30,3,45 - 49,Hombre,Nacional,MADRID,65
7,3,80 - 84,Hombre,Nacional,BURGOS,1
7,3,80 - 84,Mujer,Nacional,BADAJOZ,1
7,3,70 - 74,Hombre,Nacional,MADRID,1
7,3,75 - 79,Mujer,Nacional,MALAGA,1
38,3,85 - 89,Hombre,Nacional,AVILA,1
21,2,55 - 59,Hombre,Nacional,CORDOBA,2
11,1,35 - 39,Hombre,Nacional,MADRID,29
7,3,55 - 59,Hombre,Nacional,GUADALAJARA,1
7,3,90 - 94,Hombre,Nacional,BURGOS,1
7,3,60 - 64,Mujer,Nacional,CIUDAD REAL,1
7,3,70 - 74,Hombre,Nacional,ZAMORA,1
7,3,70 - 74,Mujer,Nacional,ZAMORA,1
7,4,75 - 79,Mujer,Nacional,LEON,1
7,3,55 - 59,Hombre,Nacional,CIUDAD REAL,1
7,3,85 - 89,Mujer,Nacional,JAEN,1
7,3,70 - 74,Hombre,Nacional,MURCIA,1
7,3,65 - 69,Mujer,Nacional,CACERES,1
7,3,80 - 84,Mujer,Nacional,TOLEDO,1
